Bedroom,Bathroom,Den,Lat,Long,Price,Address,Postal Code
2,2,0,43.6527574,-79.3665108,2775,"460 Adelaide St East, M5A1",M5A
1,1,0,43.6488576,-79.3781453,2750,"1 King St W, Toronto, O",M5H
2,1,0,43.6474943,-79.435995,2750,"23 Wyndham St, Toronto, O",M6K
1,1,1,43.6488576,-79.3781453,2750,"1 King St W, Toronto, O",M5H
3,1,0,43.6403508,-79.4275216,2707,"295 Dufferin St., Toronto, O",M6K
1,1,1,43.6476244,-79.3968608,2700,"435 Richmond St W, Toronto, O",M5V
1,1,0,43.6439201,-79.3994776,2700,"75 Portland St, Toronto, O",M5V
1,1,1,43.6413655,-79.3914457,2700,81,M5V
2,1,0,43.6605397,-79.3786617,2700,"99 McGill St, Toronto, O",M5B
1,1,0,43.6416207,-79.3717276,2700,"39 Queens Quay E, Toronto, O",M5E
2,1,0,43.6667515,-79.3762355,2699,"120 Homewood Ave, Toronto, O",M4Y
2,1,0,43.6383993,-79.4144482,2699,"65 E Liberty St, Toronto, O",M6K
1,1,1,43.6659283,-79.383465,2680,"17 Dundonald St., M4Y 1K3, Toronto, O",M4Y
1,1,0,43.6476273,-79.3904081,2650,"295 Adelaide St W, Toronto, O",M5V
1,1,0,43.6476273,-79.3904081,2650,"295 Adelaide St W, Toronto, O",M5V
1,1,0,43.6415846,-79.3826205,2650,"19 Grand Trunk Crescent, Toronto, O",M5J
1,1,0,43.6476273,-79.3904081,2650,"295 Adelaide St W, Toronto, O",M5V
1,2,0,43.6453398,-79.4021851,2650,"525 Adelaide Street West, Toronto, O",M5V
1,1,0,43.6458091,-79.3756819,2650,"1 The Esplanade, Toronto, O",M5E
2,2,0,43.7658605,-79.3855003,2650,"17 Kenaston Gardens, ",M2K
1,1.5,1,43.6449299,-79.3921465,2650,"36 Blue Jays Way, Toronto, O",M5V
1,1,0,43.645271,-79.3763951,2600,", Toronto m5e0a8 O",M5E
2,2,0,43.6638522,-79.3841153,2600,", Yonge and Maitland M4y3b5  O",M4Y
1,1,0,43.645271,-79.3763951,2600,", Toronto m5e0a8 O",M5E
1,1,0,43.6417851,-79.3790058,2600,"88 Harbour St, Toronto, O",M5J
1,1,1,43.6458091,-79.3756819,2600,"1 The Esplanade, Toronto, O",M5E
1,1,1,43.6397355,-79.3904175,2600,"5 Mariner Terr, Toronto M5V 3V6 O",M5V
2,2,0,43.6594213,-79.3610251,2600,"55 Regent Park Blvd, Toronto, O",M5A
2,1,0,43.6412101,-79.3938921,2600,", Toronto  M5V3Z9 O",M5V
2,1,0,43.665271,-79.4476835,2600,"812 Lansdowne Ave, Toronto, O",M6H
2,2,0,43.6366681,-79.4004451,2600,"600 Fleet St, Toronto, O",M5V
1,1,0,43.6387842,-79.3988635,2600,"85 Queens Wharf Rd, Toronto, O",M5V
1,1,1,43.6418064,-79.3789807,2600,"100 Harbour St, Toronto, O",M5J
1,1,0,43.6387842,-79.3988635,2600,"85 Queen's Wharf Rd, Toronto, O",M5V
1,1,1,43.6390962,-79.3864748,2600,"270 Queens Quay W, Toronto, O",M5V
1,1,0,43.6679021,-79.3756819,2600,"500 Sherbourne St, Toronto, O",M4X
2,1,0,43.6419081,-79.3817798,2600,"14 York St, Toronto, O",M5J
2,2,0,43.7658605,-79.3855003,2600,"17 Kenaston Gardens, ",M2K
2,1,0,43.6417851,-79.3790058,2600,"88 Harbour St, Toronto, O",M5J
1,1,1,43.6417851,-79.3790058,2600,"88 Harbour St, Toronto, O",M5J
2,1.5,0,43.6460983,-79.3760549,2600,"8 The Esplanade, Toronto, O",M5E
1,1,1,43.6476273,-79.3904081,2600,"295 Adelaide St W, Toronto, O",M5V
1,1,0,43.658981,-79.362919,2600,"200 Sackville St, Toronto, O",M5A
2,2,0,43.6594213,-79.3610251,2600,"55 Regent Park Blvd, M5A2B7, Toronto, O",M5A
2,1,0,43.6403508,-79.4275216,2591,"295 Dufferin St., Toronto, O",M6K
2,1,0,43.6403508,-79.4275216,2591,"295 Dufferin St., Toronto, O",M6K
2,1,0,43.6403508,-79.4275216,2591,"295 Dufferin St., Toronto, O",M6K
2,1,0,43.6403508,-79.4275216,2574,"295 Dufferin St., Toronto, O",M6K
2,1,0,43.6403508,-79.4275216,2574,"295 Dufferin St., Toronto, O",M6K
2,1,0,43.6403508,-79.4275216,2574,"295 Dufferin St., Toronto, O",M6K
1,1,0,43.6489001,-79.392205,2550,"318 Richmond St W, Toronto, O",M5V
1,1,0,43.6489001,-79.392205,2550,"318 Richmond St W, Toronto, O",M5V
1,1,0,43.6489001,-79.392205,2550,"318 Richmond St W, Toronto, O",M5V
2,1,0,43.6519582,-79.3688547,2550,"333 Adelaide St E, Toronto, O",M5A
1,1,0,43.6694507,-79.3874705,2550,"The Uptown Residences, 35 Balmuto St, Toronto, O",M4Y
1,1,0,43.6694507,-79.3874705,2550,"The Uptown Residences, 35 Balmuto St, Toronto, O",M4Y
1,1,0,43.6694507,-79.3874705,2550,"The Uptown Residences, 35 Balmuto St, Toronto, O",M4Y
2,1,0,43.6519582,-79.3688547,2550,"333 Adelaide St E, Toronto, O",M5A
2,1,0,43.625159,-79.4787203,2550,"56 annie craig drive, m8v0a5, toronto, O",M8V
